External.ID,Referencia,Monto.en.petro
__export__.sinco_project_47248,CCO-21-10-05-00065,78.89
__export__.sinco_project_47253,CCO-21-10-01-00054,84.49
__export__.sinco_project_47254,CCO-21-02-07-00017,49.04
__export__.sinco_project_47261,CCO-21-06-02-00005,142.33
__export__.sinco_project_47262,CCO-21-12-04-00005,68.842054791
__export__.sinco_project_47265,CCO-21-10-10-00002,211.04
__export__.sinco_project_47276,CCO-21-13-09-00022,134.90743834
__export__.sinco_project_47278,CCO-21-02-07-00019,49.04
__export__.sinco_project_47296,CCO-21-07-08-00002,252.9
__export__.sinco_project_47322,CCO-21-18-02-00002,133.94
__export__.sinco_project_47325,CCO-21-18-02-00003,130.13
__export__.sinco_project_47326,CCO-21-10-10-00003,211.04
__export__.sinco_project_47327,COM-21-04-07-00001,131.41
__export__.sinco_project_47329,CCO-21-18-02-00004,128.67
__export__.sinco_project_47330,CCO-21-18-02-00005,128.4
__export__.sinco_project_47331,CCO-21-16-09-00001,142.33
__export__.sinco_project_47334,COM-21-02-03-00001,142.33
__export__.sinco_project_47352,CCO-21-10-01-00056,85.39
__export__.sinco_project_47377,CCO-21-10-08-00024,142.33
__export__.sinco_project_47382,CCO-21-17-08-00008,142.33
__export__.sinco_project_47383,CCO-21-14-06-00011,142.33
__export__.sinco_project_47385,CCO-21-16-13-00002,142.33
__export__.sinco_project_47388,CCO-21-09-18-00003,90.98
__export__.sinco_project_47422,CCO-21-21-18-00014,207.57
__export__.sinco_project_47426,CCO-21-16-05-00004,142.33
__export__.sinco_project_47431,CCO-21-16-04-00003,142.33
__export__.sinco_project_47444,CCO-21-22-01-00024,142.33
__export__.sinco_project_47458,CCO-21-21-18-00016,147.18
__export__.sinco_project_47460,COM-21-04-07-00002,141.25
__export__.sinco_project_47468,CCO-21-10-14-00002,114.38
__export__.sinco_project_47487,CCO-21-10-03-00014,146.37
__export__.sinco_project_47502,CCO-21-21-03-00003,142.33
__export__.sinco_project_47506,CCO-21-12-01-00004,161.31
__export__.sinco_project_47536,CCO-21-10-06-00008,71.69
__export__.sinco_project_47539,CCO-21-02-15-00004,132.483946223
__export__.sinco_project_47572,CCO-21-12-23-00001,21.6990577385
__export__.sinco_project_47579,CCO-21-12-13-00011,264.88
__export__.sinco_project_47585,CCO-21-02-12-00003,187.18383927
__export__.sinco_project_47630,CCO-21-04-05-00001,142.33
__export__.sinco_project_47638,CCO-21-04-05-00002,142.33
__export__.sinco_project_47648,CCO-21-13-09-00030,130.35
__export__.sinco_project_47652,CCO-21-12-12-00021,142.33
__export__.sinco_project_47662,CCO-21-21-10-00002,190.4
__export__.sinco_project_47664,CCO-21-13-09-00032,132.15
__export__.sinco_project_47694,CCO-21-02-15-00005,78.0436875471
__export__.sinco_project_47695,CCO-21-02-01-00033,141.716843033
__export__.sinco_project_47699,CCO-21-17-08-00011,142.33
__export__.sinco_project_47709,CCO-21-10-13-00004,89.9
__export__.sinco_project_47726,CCO-21-18-05-00017,157.52
__export__.sinco_project_47732,CCO-21-02-01-00038,171.105359662
__export__.sinco_project_47733,CCO-21-12-18-00002,87.0803221731
__export__.sinco_project_47734,CCO-21-10-12-00004,110.54
__export__.sinco_project_47750,CCO-21-04-13-00001,86.8
__export__.sinco_project_47756,CCO-21-10-07-00009,146.62
__export__.sinco_project_47768,CCO-21-12-23-00002,46.5834609597
__export__.sinco_project_47770,CCO-21-21-18-00020,145.82
__export__.sinco_project_47790,CCO-21-04-02-00006,129.52
__export__.sinco_project_47794,CCO-21-11-09-00003,211.04
__export__.sinco_project_47796,CCO-21-04-02-00007,167.08
__export__.sinco_project_47801,CCO-21-03-06-00007,207.37
__export__.sinco_project_47805,CCO-21-04-03-00003,74.67
__export__.sinco_project_47806,CCO-21-04-17-00003,143.99
__export__.sinco_project_47810,CCO-21-04-02-00009,85.92
__export__.sinco_project_47811,CCO-21-04-17-00004,139.47
__export__.sinco_project_47813,CCO-21-07-09-00010,200.5
__export__.sinco_project_47816,CCO-21-04-17-00005,139.84
__export__.sinco_project_47819,CCO-21-04-17-00007,143.45
__export__.sinco_project_47835,CCO-21-04-02-00018,87.9
__export__.sinco_project_47853,CCO-21-02-01-00050,117.155185372
__export__.sinco_project_47856,CCO-21-04-02-00021,89.22
__export__.sinco_project_47865,CCO-21-04-17-00015,145.82
__export__.sinco_project_47866,CCO-21-04-17-00016,143.46
__export__.sinco_project_47912,CCO-21-04-13-00020,85.56
__export__.sinco_project_47951,CCO-21-02-01-00054,95.7820700383
__export__.sinco_project_47957,CCO-21-04-02-00036,94.2702986295
__export__.sinco_project_47958,CCO-21-10-14-00007,102.53
__export__.sinco_project_48024,CCO-21-04-02-00043,95.8359331054
__export__.sinco_project_48035,CCO-21-03-06-00010,267.43
__export__.sinco_project_48043,CCO-21-18-28-00013,154.33
__export__.sinco_project_48100,CCO-21-21-05-00021,142.33
__export__.sinco_project_48103,CCO-21-07-02-00007,275.57
__export__.sinco_project_48115,CCO-21-21-18-00021,166.42
__export__.sinco_project_48118,CCO-21-12-15-00005,114.41
__export__.sinco_project_48142,CCO-21-12-20-00004,183.69
__export__.sinco_project_48146,CCO-21-10-01-00064,141.65
__export__.sinco_project_48147,CCO-21-02-18-00009,147.800880389
__export__.sinco_project_48161,CCO-21-12-19-00007,124.069862689
__export__.sinco_project_48195,CCO-21-10-05-00073,100.09
