code;project_ids.display_name;periodo_fiscal;investment_sector_id.name;category_id.name;lat;long
CCO-21-05-01-00010;SIEMBRA Y CULTIVO DE 30 HECTAREAS DE MAIZ AMARILLO Y MAIZ BLANCO A TRAVES DE CONUCOS PRODUCTIVOS EN EL SECTOR VALLE VERDE LAS CRUCES;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;8,42719967619567;-68,299598925559
CCO-21-05-01-00011;SIEMBRA Y CULTIVO DE 30 HECTAREAS DE MAIZ AMARILLO Y MAIZ BLANCO A TRAVES DE CONUCOS EN EL SECTOR CAÑO AMARILLO;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;8,20247806398759;-68,0197942281373
CCO-21-12-12-00008;Siembra y mantenimiento de los diferentes rubros agricolas, yuca, platano, ocumo y caraotas  del sector Caño Blanco la maquinita;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;8,89168432033057;-71,3746671893613
CCO-21-02-07-00017;PROYECTO SOCIO PRODUCTIVO SIEMBRA DE FRIJOL;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;8,17979375754431;-63,5379751344793
CCO-21-18-05-00008;CULMINACIÓN DE LA CASA COMUNAL ;21;SERVICIOS PÚBLICOS;EDUCACIÓN;8,1346628367039;-71,9782227156738
CCO-21-08-04-00014;REHABILITACION  DEL SISTEMA DE ALUMBRADO PUBLICO DEL SECTOR EL CARMEN DEL MUNICIPIO EL PAO.;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,65960641264881;-68,1312863473741
CCO-21-08-04-00033;REHABILITACION FISICA DE LA VIALIDAD AGRICOLA DEL CASERIO SAN ANTONIO DE MONAGAS.;21;SERVICIOS PÚBLICOS;VIALIDAD;9,39480169077008;-68,1607250722965
CCO-21-08-08-00019;MANTENIMIENTO Y MEJORAS DEL ALUMBRADO PUBLICO DEL SECTOR VILLAS DEL PARAISO DEL MUNICIPO, LIMA BLANCO ESTADO COJEDES;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,80506167363166;-68,4011239592898
CCO-21-05-01-00017;MEJORAMIENTO Y AMPLIACION DE UNA GRANJA MIXTA EN EL SECTOR ;21;SOCIOPRODUCTIVOS;SISTEMAS AGROPECUARIOS;8,21963967332116;-67,7801531925474
CCO-21-10-05-00054;REHABILITACIÓN DEL TENDIDO ELÉCTRICO DEL CASERÍO LA CABRERA, MUNICIPIO JOSE FELIX RIBAS, TUCUPIDO, ESTADO GUARICO;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,24121221020776;-65,8148815475009
CCO-21-08-05-00008;REHABILITACIÓN DE LA VIA AGRICOLA EN EL SECTOR ZONA DE RIEGO LA CHEPERA, PARROQUIA LIBERTAD, MUNICIPIO RICAURTE, ESTADO COJEDES;21;SERVICIOS PÚBLICOS;VIALIDAD;9,4967204979713;-68,6915373464321
CCO-21-08-09-00013;CULMINACION DE LA ELECTRIFICACION EN EL SECTOR LOS PAJARITOS, CONSEJO COMUNAL LOS PAJARITOS, MUNICIPIO RÓMULO GALLEGOS, ESTADO BOLIVARIANO DE COJEDES;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,54908428714703;-68,5902559496997
CCO-21-10-05-00056;ACTIVACION DEL BOMBEO Y LAS REDES DE DISTRIBUCION DEL AGUA POTABLE. CASERIO ASENTAMIENTO TAMANACO. PARROQUIA TUCUPIDO. MUNICIPIO JOSE FELIX RIBAS, ESTADO GUARICO;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,4959336962085;-65,8368919633212
CCO-21-10-08-00001;Plan Conuco 2021 en el Sector La Negra, Municipio Esteros de Camaguan.;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;8,06881317449837;-67,5604923356421
CCO-21-13-05-00001;2da ETAPA DE ACONDICIONAMIENTO DE LA VIALIDAD DEL SECTOR BARRIALITO;21;SERVICIOS PÚBLICOS;VIALIDAD;10,1018722093814;-66,813614164518
CCO-21-05-01-00026;MEJORAMIENTO Y AMPLIACION DE UNA GRANJA MIXTA EN EL SECTOR LAS VENTANAS;21;SOCIOPRODUCTIVOS;SISTEMAS AGROPECUARIOS;8,21012243783131;-67,8433239608356
